EVENT NAME,EVENT DATE & TIME,EVENT PRICE,EVENT VENUE,EVENT CATEGORY
An Original take by Karsh Kale | Paytm Insider presents Jim Beam Originals,January 16 | 9PM,299,Watch on Insider,online-entertainment
An Original take by Raghu Dixit | Paytm Insider presents Jim Beam Originals,February 13 | 9PM,299,Watch on Insider,online-entertainment
An Original take by Usha Uthup | Paytm Insider presents Jim Beam Originals,January 30 | 9PM,299,Watch on Insider,online-entertainment
Art class for kids ,Multiple Dates | 5PM,275 onwards,Online,online-kids
Art class online for kids ,September 19 | 5PM - August 15 | 6PM,275 onwards,Online,online-kids
Bhagwad Gita for kids by EMPLIHI,August 2 | 4PM - December 27 | 4PM,2100,Zoom Call,online-kids
Christmas Concert by Anjan Dutt and The Band ,December 27 | 8PM,200 - India / $15 - Abroad,Watch on Facebook Live,online-entertainment
Diplomathon Global Industries ,December 23 | 5PM - December 27 | 6PM,999 onwards,Online,online-skill
Dwitiyo Adhyay,December 13 | 9:30PM,50,Watch on Insider,online-entertainment
Escape from Wonderland,Play at your Convenience,499,At Your Own Home,online-kids
Groom. Enhance. Transform ,December 14 | 12PM - December 21 | 1PM,4500,Join on Zoom,online-skill
"I Don't Like It, As You Like It",December 12th & 13th | 6:50 PM,399 onwards,Watch on Insider,online-entertainment
Jhumritalaiya - Online Storytelling Mentorship Program,6 Sessions | Choose your own Schedule!,5999,Your Home,online-skill
JioSaavn - Live Anywhere: Amaal Mallik ,December 13 | 8PM,199,Watch on Insider,online-entertainment
Master  Photoshop by EMPLIHI,July 30 | 5PM - December 31 | 6PM,700,Zoom Call,online-kids
MyCaptain Business 101,July 1 - December 31 | 8:30PM,3500,Online,online-skill
MyCaptain Tech Wizard,July 1 - 30 | 8:30PM,3500,Online,online-skill
Online Program in Direction by WWI Virtual Academy,Access to online course material for a year.,13000,Online,online-skill
Online Program in Producing by WWI Virtual Academy,Access to online course material for a year.,9000,Online,online-skill
Online Program in Screenwriting by WWI Virtual Academy,Access to online course material for a year.,13000,Online,online-skill
Stock Market: Technical Analysis Training,July 25 | 10AM,9440,Online,online-skill
The Podcasting Masterclass with Mantra Mugdh,December 12 | 3PM - December 13 | 7PM,1500 onwards,Watch on Zoom,online-skill
Theme Yoga For Kids by HobbyStation (4-9 years),December 4 | 6PM - December 28 | 7PM,200 onwards,Zoom Call,online-kids
Vedic Math by EMPLIHI,October 11 | 2:32PM - January 9 | 2:32PM,2000,Zoom Call,online-kids
